nama_indikator
Pengeluaran Konsumsi Rumah Tangga
Pengeluaran Konsumsi LNPRT
Pengeluaran Konsumsi Pemerintah
Pembentukan Modal Tetap Bruto
Perubahan Inventori
Ekspor Barang dan Jasa
Impor Barang dan Jasa
PRODUK DOMESTIK REGIONAL BRUTO
